r,t,y,AnnualVariableOperatingCost
REGION1,DEMAGRDSL,2015,0.0065
REGION1,DEMAGRDSL,2016,0.0066
REGION1,DEMAGRDSL,2017,0.007
REGION1,DEMAGRDSL,2018,0.0073
REGION1,DEMAGRDSL,2019,0.0077
REGION1,DEMAGRDSL,2020,0.0081
REGION1,DEMAGRDSL,2021,0.0087
REGION1,DEMAGRDSL,2022,0.0093
REGION1,DEMAGRDSL,2023,0.0098
REGION1,DEMAGRDSL,2024,0.0104
REGION1,DEMAGRDSL,2025,0.0109
REGION1,DEMAGRDSL,2026,0.0113
REGION1,DEMAGRDSL,2027,0.0118
REGION1,DEMAGRDSL,2028,0.0123
REGION1,DEMAGRDSL,2029,0.0127
REGION1,DEMAGRDSL,2030,0.0132
REGION1,DEMAGRELC002,2015,0.0001
REGION1,DEMAGRELC002,2016,0.0001
REGION1,DEMAGRELC002,2017,0.0001
REGION1,DEMAGRELC002,2018,0.0001
REGION1,DEMAGRELC002,2019,0.0001
REGION1,DEMAGRELC002,2020,0.0002
REGION1,DEMAGRELC002,2021,0.0002
REGION1,DEMAGRELC002,2022,0.0002
REGION1,DEMAGRELC002,2023,0.0002
REGION1,DEMAGRELC002,2024,0.0002
REGION1,DEMAGRELC002,2025,0.0003
REGION1,DEMAGRELC002,2026,0.0003
REGION1,DEMAGRELC002,2027,0.0003
REGION1,DEMAGRELC002,2028,0.0003
REGION1,DEMAGRELC002,2029,0.0003
REGION1,DEMAGRELC002,2030,0.0003
REGION1,DEMAGRGWTETH,2015,0.0045
REGION1,DEMAGRGWTETH,2016,0.0051
REGION1,DEMAGRGWTETH,2017,0.0059
REGION1,DEMAGRGWTETH,2018,0.0067
REGION1,DEMAGRGWTETH,2019,0.0077
REGION1,DEMAGRGWTETH,2020,0.0088
REGION1,DEMAGRGWTETH,2021,0.0101
REGION1,DEMAGRGWTETH,2022,0.0115
REGION1,DEMAGRGWTETH,2023,0.0131
REGION1,DEMAGRGWTETH,2024,0.0143
REGION1,DEMAGRGWTETH,2025,0.0157
REGION1,DEMAGRGWTETH,2026,0.0172
REGION1,DEMAGRGWTETH,2027,0.0189
REGION1,DEMAGRGWTETH,2028,0.02
REGION1,DEMAGRGWTETH,2029,0.02
REGION1,DEMAGRGWTETH,2030,0.02
REGION1,DEMCOMBIO,2015,0.0158
REGION1,DEMCOMBIO,2016,0.0158
REGION1,DEMCOMBIO,2017,0.0164
REGION1,DEMCOMBIO,2018,0.017
REGION1,DEMCOMBIO,2019,0.0176
REGION1,DEMCOMBIO,2020,0.0182
REGION1,DEMCOMBIO,2021,0.0193
REGION1,DEMCOMBIO,2022,0.0204
REGION1,DEMCOMBIO,2023,0.0214
