r,e,y,AnnualEmissions
REGION1,CO2,2017,111.7372
REGION1,CO2,2018,106.5747
REGION1,CO2,2019,111.1448
REGION1,CO2,2020,109.9941
REGION1,CO2,2021,115.9773
REGION1,CO2,2022,121.3031
REGION1,CO2,2023,123.5271
REGION1,CO2,2024,126.2666
REGION1,CO2,2025,128.1712
REGION1,CO2,2026,130.1322
REGION1,CO2,2027,131.9384
REGION1,CO2,2028,132.2848
REGION1,CO2,2029,132.4693
REGION1,CO2,2030,129.881
REGION1,CO2,2031,130.3676
REGION1,CO2,2032,131.6704
REGION1,CO2,2033,132.5743
REGION1,CO2,2034,124.8006
REGION1,CO2,2035,124.0478
REGION1,CO2,2036,123.3372
REGION1,CO2,2037,122.7431
REGION1,CO2,2038,123.0344
REGION1,CO2,2039,124.7157
REGION1,CO2,2040,126.6594
REGION1,CO2,2041,128.8359
REGION1,CO2,2042,131.6915
REGION1,CO2,2043,137.0005
REGION1,CO2,2044,143.9851
REGION1,CO2,2045,148.803
REGION1,CO2,2046,154.0255
REGION1,CO2,2047,160.5967
REGION1,CO2,2048,167.4855
REGION1,CO2,2049,173.9579
REGION1,CO2,2050,181.2764
